start_time,end_time,text
0.0,6.0," Deuxième des choses qui vous fait que c'est la tension avec aujourd'hui, c'est le sang."
6.0,12.0," Je m'explique. Le sang dont je parle, c'est quoi ? C'est pas ton sang qui est cool ici."
12.0,18.0," C'est le sang qui va commencer à sauter de la pareille un timme de la femme,"
18.0,23.0, lorsqu'elle est en train de mecs d'enfanter. Il y a des femmes qui pourraient envoyer des déchirus
23.0,26.0," et le sang va sauter. C'est qu'il y a dessus. Lorsque une femme accouche,"
26.0,31.0," il y a toujours du sang quelque part. Ce sang là, il faut bien m'écouter."
31.0,35.0," Vous devez faire très attention avec ce coup ça, que avant d'un autre village,"
35.0,39.0," on avait ce qu'on appelé les sages femmes, des maman inspirémentés,"
39.0,43.0, qui faisaient accoucher la jeune fille et qui avait des secrets que vous revêlez totalement.
43.0,48.0," Je dis à cause du modernisme, lorsqu'une femme doit accoucher la mène à l'hôpital,"
48.0,52.0," un réalité, une femme ne doit pas accoucher à l'hôpital, une femme doit accoucher dans sa maison."
52.0,57.0," Ça veut dire, le docteur doit virer dans la maison. Pourquoi? Parce qu'il y a les enseignants,"
57.0,60.0," les anges qui accompagnent l'enfant, au moment où l'enfant soit,"
60.0,63.0, les anges et la restent dans le lieu où l'enfant est né.
63.0,68.0," Ça veut dire que si vous accouchez à l'hôpital, le héritage que l'enfant est venu avec la salle reste là bas."
68.0,72.0," Vous ranclavez l'enfant à la maison, mais tout reste là bas."
72.0,75.0, Il faut bien m'écouter. Il va aller rapidement.
75.0,80.0," Alors, ce sang qui est sol, vous devez éviter au maximum que quelqu'un touche ce sang."
81.0,84.0," De nous, je vous ai compliqué. Parce qu'on a un docteur, on est sage,"
84.0,86.0," on est formes des fois même le mariant, des mains qui restent les déaux."
86.0,89.0," Il n'est même pas séqué, ce passe là bas des dents."
89.0,90.0," Ça, c'est le sang."
90.0,94.0," Quoi, un vien me déchaussent le gras."
94.0,99.0, Le gras sur lequel la mène est accouchée.
99.0,102.0, Je vous explique.
102.0,107.0," Ce gras sur lequel la mène pleure et qu'elle met au monde de l'enfant,"
108.0,111.0," ce gras là, guérit l'enfant de tous les problèmes qu'il a."
111.0,113.0, Je m'explique par exemple.
113.0,118.0," Si l'enfant m'a la tête, prenez le gras sur lequel vous avez accouché,"
118.0,120.0," enveloppez l'enfant des dents, il guérit."
120.0,123.0," Si l'enfant a un blocage, prenez le gras là."
123.0,126.0," Faites dommé une seule nuit, l'enfant à l'intérieur."
126.0,128.0, Le lac de main la situation se décampe.
128.0,130.0, Vous ne voulez pas parler de prière.
130.0,132.0, C'est qui est sème.
132.0,134.0, Que l'enfant n'impote qu'elle problème.
134.0,136.0," Préné, juste le gras. On a combien de coins non ?"
136.0,138.0, Prénez le gras là.
138.0,140.0, Enveloppez votre enfant des dents.
140.0,142.0, C'est ça qu'on veut le mettre le gras là-là.
142.0,145.0," Même si l'enfant, même si l'enfant est la cinquante ans,"
145.0,148.0, il doit être capable de voir ce gras dans sa valise.
148.0,150.0," Lorsqu'il va dans les grandes assises,"
150.0,153.0," il doit attacher ce gras sur lui, l'attache le pain."
153.0,156.0," Le pain au-dessus, mais ce gras à l'intérieur."
156.0,157.0, Il doit la voir.
157.0,158.0, Ça fait que point.
158.0,162.0," Je sais que nous tous, qui sont ici, ça n'a pas été fait."
162.0,164.0, C'est pour ça que le temps n'est expliqué.
164.0,166.0," Pourquoi demain vous n'es dites pas que l'enfant a tel problème,"
166.0,167.0, l'enfant a tel problème.
167.0,169.0," Les autres enfants qui viennent là, il faut dire à savoir."
169.0,170.0, Ça fait que je vois.
170.0,172.0," Ce gras là, on ne laisse pas veler le docteur."
172.0,173.0, On ne le lave pas.
173.0,175.0," J'ai dit bien, on ne le lave pas."
175.0,180.0," Le sang qui est dessus et l'eau du placenta qui est dessus,"
180.0,182.0, on gâte et ça comme ça.
182.0,184.0, C'est pas une sèche et on le gâte.
184.0,187.0," Généralement, même, je vais aller plus loin."
187.0,191.0, Lorsque c'est en fait un temps de mourir et qu'il atteint cette ennage.
191.0,195.0, C'est que c'est une maladie mystique et qu'il vient de mourir que son corps est chaud.
195.0,199.0," Il suffit juste de reposer ce gras là celui, un tout vrai."
199.0,200.0, Il revient.
200.0,206.0," Si par exemple on la chute du façon mystique et qu'il a un tout le parti,"
206.0,209.0," comme on gède les sors aux gens là, il ramène l'âme."
209.0,210.0, Il est mort.
210.0,212.0, Comme vous savez qu'il a moins les chauds.
212.0,214.0," Allez, prend ça, j'étais celui, il va revenir."
214.0,221.0, Pas c'est tant que son neuf ne pas arriver que c'est mystique et va revenir.
221.0,222.0, Ça fait comme ça.
222.0,223.0, Ça fait que toi.
